id,question_text,topic_id
1,"Mennyi 3+4?",1
2,"Melyik ország fővárosa Párizs?",2
3,"Ki volt Magyarország első királya?",3
4,"Mi a víz kémiailag kifejezett formulája?",4
5,"Ki írta a 'Láthatatlan ember' című művet?",5
6,"Mennyi a négyzetgyök 81-ből?",1
7,"Melyik kontinensen található az Amazonas?",2
8,"Mikor kezdődött a második világháború?",3
9,"Milyen elem a Hg?",4
10,"Ki írta a 'Május Tizenharmadikát'?",5
11,Milyen folyamat során keletkezik a fotoszintézis?,4
12,Mi az abszolút nulla hőmérséklete?,4
13,Melyik növény a legnagyobb szárazföldi?,4
14,Ki volt az első ember a Holdon?,4
15,Mi a Kossuth-díj célja?,4
16,Hogyan nevezzük az emberi szív legnagyobb üregét?,4
17,Melyik bolygó a Naprendszer legnagyobbja?,4
18,Mi a fő összetevője a levegőnek?,4
19,Ki volt a leghosszabb ideig uralkodó brit királynő?,3
20,Milyen színű a rubin általában?,4
21,Melyik évben nyerte meg Magyarország utoljára a labdarúgó Európa-bajnokságot?,3
22,Mi a világ legnagyobb hegyrendszere?,2
23,Ki volt az első nő aki elnyerte a Nobel-békedíjat?,3
24,Milyen folyamat során alakul ki a cseppfolyós halmazállapot a víznél?,4
25,Melyik film nyerte el 2020-ban az Oscar-díjat a legjobb film kategóriában?,3
26,Ki volt az első ember aki megkerülte a Földet űrhajóval?,3
27,Mi az E=mc^2 jelentése Albert Einstein relativitáselmélete szerint?,4
28,Milyen égitest a legközelebb a Földhöz?,4
29,Melyik állat a leghosszabb életű a Földön?,4
30,Mi az eredménye a következő műveletnek: 5 + 3 * 2?,4
31,Mennyi 15 százaléka 80-nak?,4
32,Ha egy téglalap oldalai 3 és 5 egység hosszúak akkor mi a területe?,4
33,Mennyi az eredménye a következő műveletnek: 8 - (4 + 2)?,4
34,Mennyi az 1/4 és a 3/4 összege?,4
35,Mi az eredménye: 3 a négyzeten?,4
36,Melyik szám a következő sorozatban: 2 - 4 - 6 - 8 ...?,4
37,Melyik kontinens a legnagyobb területű?,2
38,Hol található a Föld legmagasabb hegycsúcsa a Mount Everest?,2
39,Melyik ország Európa legnagyobb folyójának a Volgának a partján fekszik?,2
40,Melyik tenger határolja Görögországot?,2
41,Melyik a világ legnagyobb sivataga?,2
42,Melyik kontinensen található Brazília?,2
43,Melyik város az Egyesült Államok fővárosa?,2
44,Mikor volt az Amerikai Függetlenségi Háború vége?,3
45,Ki volt az Egyesült Államok első elnöke?,3
46,Melyik évben kezdődött az első világháború?,3
47,Ki írta a Harry Potter könyvsorozatot?,5
48,Melyik William Shakespeare darabja kezdi azzal a híres sorral: "Két háborúzó család Montague és Capulet...,5
49,Ki a főszereplő az "Odüsszeia" című görög epikus költeményben?,5
50,Melyik Charles Dickens regényben szerepel Twist Olivér?,5
51,Ki írta a "Háború és béke" című regényt?,5
52,Melyik klasszikus könyv szól egy kislányról aki egy csodálatos kertet fedez fel egy nagy angol birtokon?,5
53,Ki írta az "Állatfarm" című politikai mese regényt?,5
54,Melyik szereplő neve az "Íjász Robin" című angol legendában?,5


